"","SLY_SPI","SLY_SHA","SLY_SPE","SPI_SHA","SPI_SPE","SHA_SPE"
"Solyc07g062710.2.1",0.379116563767629,1,0.0103700217022631,1,0.429915663978342,0.0182323151329765
"Solyc04g080050.2.1",1,0.2149420426455,0.00474035092794388,0.131633728480056,0.00530328085729723,1
"Solyc07g044920.1.1",0.132106820641560,1,0.00392423858734316,0.132106820641560,0.641228853124876,0.00392423858734316
"Solyc01g065980.2.1",0.000148613931683414,8.99488763109773e-05,0.000149838712920954,1,1,1
"Solyc07g043390.2.1",0.0113347299487356,0.00615368415393896,1,1,0.00754762466435531,0.00430847512418061
"Solyc10g086420.1.1",0.459978049450405,0.0446797107826755,0.0547498686174701,1,0.00435748348004032,0.00152954813529095
"Solyc07g066040.1.1",1,1,0.0426710738818189,1,0.0428150706864381,0.225208374141467
"Solyc05g006830.2.1",0.00453627687144589,8.24520820885336e-05,1,0.252254912326286,0.0367152179026563,0.00132027588774001
"Solyc08g077560.2.1",1,0.0170806965075468,0.0610697035173475,0.104653489089282,0.451382570156785,1
"Solyc02g089400.2.1",0.152625404819401,0.0143199643694861,0.705027316353522,0.290265888073451,0.00259815799623018,0.00101714962076425
"Solyc09g007900.2.1",0.0129771409567829,0.0083566185775749,1,1,0.067811091752944,0.0341889538085028
"Solyc03g116630.2.1",1,0.0160167642569973,1,0.00622250326844776,1,0.00112576657143723
"Solyc04g071870.1.1",1,0.257752981177915,0.000763529841048668,0.567462501012144,0.00298081633591785,2.98782740845898e-05
"Solyc05g012900.2.1",0.0182047267143962,0.0176518920142701,0.0044848139744241,1,1,1
"Solyc07g045070.2.1",1,0.0379072473030992,0.000270647881822352,0.196573779740774,0.00192036090363983,0.624305699491886
"Solyc01g008440.2.1",1,1,0.00115880371502895,1,0.000347671575454283,0.00307019144535529
"Solyc02g086160.2.1",0.0055231175396837,0.0421763734691896,1,1,0.000378705654566936,0.00449660820852779
"Solyc09g011720.2.1",0.00611276457188489,0.000937992909001656,1,0.618942268093028,0.082653962716309,0.0118340274427714
"Solyc02g092450.2.1",1,0.0137071510061963,0.236862667930361,0.0185587542117145,0.260744255319214,1
"Solyc04g015590.2.1",0.00329705110577958,1,0.000918152524270078,0.000875872335321746,0.111537682838824,0.000565366422403729
"Solyc08g005560.2.1",3.53283465833649e-06,4.72379135619174e-05,0.00102439352215586,0.233473549779164,0.00296299850121102,0.228662276879509
"Solyc07g055160.2.1",0.00606209274560154,0.00334977100739311,0.000176935341872430,1,1,0.164571960182589
"Solyc01g080870.2.1",0.00855103550310278,0.000314205016670315,0.000247265072158152,0.0297090867127,0.00944571725306305,1
