"","SLY","SPI","SHA","SPE"
"Solyc10g075070.1.1",36.8571428571428,4.71428571428571,8.14285714286031,181.857142857166
"Solyc08g006680.2.1",11.7142857142861,15.5714285714286,10.7142857142981,15.4285714285717
"Solyc06g065320.2.1",45.1428571431547,51.0000000001227,31.5714285715379,22.8571428571459
"Solyc02g094450.2.1",29.1428571428573,34.0000000000559,36.4285714297722,17.4285714286462
"Solyc10g006010.2.1",25,26.4285714285714,23.7142857142860,23.2857142857144
"Solyc01g095510.2.1",3.42857142857143,4.85714285714286,2,4.57142857142857
"Solyc07g042830.2.1",13.5714285714293,5.2857142857388,20.5714285714286,9.14285714324432
"Solyc07g063700.1.1",1.57142857142857,0.428571428571429,0.285714285715784,1.57142857142857
"Solyc09g059260.2.1",1.57142857142857,1.42857142857143,4.13993771878646e-09,0.428571428571428
"Solyc08g079770.2.1",27.428571428572,16.4285714285714,39.7142857142857,48.2857142857366
"Solyc05g041920.2.1",3.42857142857143,2.85714285714286,4.71428571428571,6.14285714285714
"Solyc03g007510.2.1",13.7142857153998,14.0000000000087,11.1428571428575,15
"Solyc06g084580.1.1",6.5714285714297,7.71428571428577,5.42857142857405,2.14285715108325
"Solyc01g096500.2.1",140.571428571429,138.428571428572,108.714285714286,141.000000000000
"Solyc11g007710.1.1",12.1428571428574,15.8571428571433,14.7142857142874,5.57142857142858
"Solyc03g034400.2.1",27.1428571428573,28.1428571428572,33.4285714285717,2.57142857145868
"Solyc12g010550.1.1",32.7142857143101,86.2857142857169,8.4285714286502,71.714285714591
"Solyc09g018780.2.1",8.00000000026936,8.85714285714286,6.42857142857147,6.71428571516143
"Solyc09g005100.2.1",18.7142857142857,30.8571428571429,42.1428571428572,53.1428571428572
"Solyc04g055000.2.1",3.71428571428572,0.714285714292183,0.857142858798193,1.57142857186177
"Solyc12g088850.1.1",0.714285714285714,0.285714285714286,1.12535174719190e-08,2.28571428571429
"Solyc10g081520.1.1",1.00000000470516,0.857142857159267,0.714285715918372,1.14285714292792
"Solyc09g011380.2.1",37.142857142898,37.8571428571481,22.8571428581333,43.1428571428946
"Solyc03g118070.2.1",13.2857142857145,10.0000000000001,12.000000000002,13.8571428571766
"Solyc03g116100.2.1",11.8571428575725,10.5714286312515,12.5714285744955,33.8571428581908
"Solyc06g064830.2.1",81.5714285714282,101.000000000000,106.142857142857,79.5714285714284
"Solyc05g054210.2.1",51.8571428571429,27.8571428571444,26.0000000000111,50.2857142857303
"Solyc11g042930.1.1",535.142857142859,562.428571428572,601.857142857144,575.857142857143
"Solyc01g103710.2.1",121.714285714286,129.285714285714,143.571428571429,126.714285714286
"Solyc04g071160.2.1",32.142857142857,29.428571428573,37.9999999999999,49.285714285726
"Solyc10g005580.2.1",21.7142857142857,25.7142857142857,30.1428571428571,31.2857142857145
"Solyc09g010320.2.1",4.14285714285716,5.42857142858116,12.1428571428630,13.7142857142859
"Solyc04g051830.2.1",28.7142857142857,39.1428571428572,38.5714285714286,30.8571428571429
"Solyc07g053470.2.1",102.285714285719,123.285714285761,151.857142857201,63.9999999999999
"Solyc00g006820.2.1",160.142857142858,144.000000000000,155.428571428572,133.142857142857
"Solyc02g082080.1.1",100.857142857143,148.857142857145,133.285714285715,95.714285714287
"Solyc07g066430.2.1",156.285714285714,162,129.571428571429,73.7142857142858
"Solyc03g118650.2.1",9.57142857142857,8.4285714285719,11.8571428571429,12.7142857142858
"Solyc06g068060.2.1",7.57142857142856,8.7142857142857,2.42857142882844,9.85714285714285
"Solyc06g075580.2.1",153.000000000001,158.857142857143,139.285714285715,84.8571428571432
"Solyc12g009220.1.1",3.57142857142858,3.14285714285714,3.85714285714289,3.85714285714395
"Solyc07g063900.2.1",57.1428571428568,90.285714285714,104.714285714285,139.142857142859
"Solyc04g007820.2.1",29.4285714285714,31.2857142857143,1.57142857155887,7.57142857142857
"Solyc02g092710.2.1",8.85714285714285,10,13.4285714292481,14.1428571428571
"Solyc01g086920.2.1",161.142857142857,130.714285714286,146.142857142864,136.285714285715
"Solyc08g074590.2.1",16.1428571428572,22.2857142857143,23.5714285714293,22.1428571428571
"Solyc08g006910.2.1",17.1428571428571,18.4285714285714,20.1428571428571,0.142857151706658
"Solyc08g078240.2.1",34.7142857143143,36.2857142857143,23.4285714285715,18.8571428571429
"Solyc01g091370.2.1",13.5714285714302,10.7142857142861,23.0000000000013,12.1428571428732
"Solyc12g036800.1.1",1.52299797440792e-09,1.52299797447129e-09,0.285714285714283,3.28571428571427
"Solyc04g081130.1.1",13.5714285714285,2.85714285714285,0.142857142857143,4.13993771878185e-09
"Solyc01g100180.2.1",26.0000000000025,26.4285714285715,23.7142857142858,13.5714285714286
"Solyc01g095620.2.1",287.428571428571,185.428571428571,156,157.571428571429
"Solyc06g007300.1.1",11.2857143003849,11.2857142857152,14.1428571428994,8.28571428573906
"Solyc09g075100.2.1",6.14285714287042,8.14285714285726,10.1428571428935,9.00000000015036
"Solyc07g006950.2.1",6.71428571429149,8.85714285714288,9.57142857147287,12.5714285714289
"Solyc02g087520.2.1",10.7142857143082,17.8571428572042,15.1428571428749,13.5714285714513
"Solyc01g086720.2.1",30.8571428571463,29.5714285714286,29.0000000000020,25.7142857142858
"Solyc11g044270.1.1",12.8571428571597,16.2857142857143,19.8571428571698,34.7142857142857
"Solyc05g009410.1.1",1.14285714285714,1.14285714285714,0.857142857142857,0.285714285715784
"Solyc11g031950.1.1",14.7142857142857,15.5714285714286,9.42857142857142,21.2857142857143
"Solyc07g055060.2.1",4806.14285714288,3354.71428571430,3904.57142857145,1231.42857142858
