"","spe"
"Solyc09g065840.2.1",0.0154899897661918
"Solyc09g007900.2.1",0.000968709980408142
"Solyc01g073870.2.1",0.87659563833509
"Solyc07g066170.2.1",1
"Solyc02g080170.1.1",1
"Solyc11g065160.1.1",0.217037944036704
"Solyc01g105050.2.1",0.0143165337852474
"Solyc06g065730.2.1",0.590649569184323
"Solyc03g116630.2.1",0.000750965098279867
"Solyc01g016370.1.1",0.224872314714751
"Solyc09g007560.2.1",0.0265147296755594
"Solyc04g071870.1.1",7.66133557465788e-07
"Solyc01g096700.2.1",0.059301190012477
"Solyc09g098300.2.1",1
"Solyc05g012900.2.1",0.0012917969736292
"Solyc07g045070.2.1",4.02568645261014e-05
"Solyc01g008440.2.1",2.03220971884325e-05
"Solyc02g088070.2.1",0.0988036405673015
"Solyc09g008670.2.1",1
"Solyc02g094090.2.1",1
"Solyc02g086160.2.1",4.05493373854725e-05
"Solyc09g011720.2.1",0.000199259180652615
"Solyc07g052670.2.1",0.0350798108193421
"Solyc02g092450.2.1",0.00717809532258594
"Solyc04g015590.2.1",3.40325647500102e-07
"Solyc04g077860.2.1",0.0115514283256749
"Solyc08g005560.2.1",1.1837011428402e-09
"Solyc07g055160.2.1",4.53666933298601e-05
"Solyc01g099650.2.1",1
"Solyc01g086850.2.1",1
"Solyc07g054920.1.1",1
"Solyc03g118860.2.1",0.0581751279598485
"Solyc01g080870.2.1",7.16580732317368e-08
"Solyc08g007540.2.1",6.17732672842606e-09
"Solyc02g083380.2.1",0.221678236162596
"Solyc04g081220.2.1",1
"Solyc01g103680.2.1",0.0782225840845492
"Solyc06g068950.2.1",2.24014041708131e-08
"Solyc06g005250.2.1",0.0105725274983295
"Solyc02g087840.2.1",6.5413195384906e-08
"Solyc00g217560.1.1",0.00255780570655021
"Solyc05g008820.2.1",0.0267038377193419
"Solyc12g076340.1.1",1
"Solyc11g018580.1.1",0.00966262787232108
"Solyc11g008490.1.1",5.3184311295538e-11
"Solyc03g083160.1.1",0.126048397211680
"Solyc03g118610.2.1",0.352057256516757
"Solyc08g074550.2.1",0.0737330146047225
"Solyc10g008730.2.1",0.00405210459401314
"Solyc04g010190.1.1",0.601379985077322
"Solyc12g006220.1.1",0.0086113638569588
"Solyc10g080230.1.1",1
"Solyc02g080780.2.1",1
"Solyc06g006050.1.1",0.588076843832599
"Solyc04g071400.2.1",0.567350109539025
"Solyc01g079660.2.1",0.0271138294452774
"Solyc12g009990.1.1",5.53328950409082e-06
"Solyc03g063240.2.1",1
"Solyc04g051870.1.1",1
"Solyc03g034190.2.1",0.0315770037770650
"Solyc11g073190.1.1",0.0335856982861598
"Solyc09g074100.2.1",0.000195534495838469
"Solyc08g013700.1.1",0.0850880894833663
"Solyc01g111650.2.1",0.000908322055880203
"Solyc09g005880.1.1",0.182993880768816
"Solyc10g086580.1.1",1.31147665822830e-05
"Solyc03g110910.2.1",0.0158309909844384
"Solyc06g069850.2.1",1
"Solyc01g108000.2.1",4.23715675054437e-10
"Solyc04g055120.2.1",0.00445430198924796
"Solyc05g013710.2.1",0.00253114557722805
"Solyc05g005710.2.1",0.000821663507647962
"Solyc03g083730.1.1",0.000289357780601326
"Solyc08g007340.2.1",0.136386629349902
"Solyc09g098770.1.1",1.78913582219531e-11
"Solyc01g081340.2.1",0.000205851634630423
"Solyc03g113220.2.1",0.00366473750696574
